
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002102                       # Number of seconds simulated (Second)
simTicks                                   2102091250                       # Number of ticks simulated (Tick)
finalTick                                  2102091250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     51.20                       # Real time elapsed on the host (Second)
hostTickRate                                 41059602                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4196488                       # Number of bytes of host memory used (Byte)
simInsts                                     25759132                       # Number of instructions simulated (Count)
simOps                                       47574367                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   503146                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     929257                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpus0.numCycles                        8408366                       # Number of cpu cycles simulated (Cycle)
system.cpus0.cpi                             0.666186                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpus0.ipc                             1.501082                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpus0.numWorkItemsStarted                    0                       # Number of work items this cpu started (Count)
system.cpus0.numWorkItemsCompleted                  0                       # Number of work items this cpu completed (Count)
system.cpus0.instsAdded                      24492468                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpus0.nonSpecInstsAdded                   4446                       # Number of non-speculative instructions added to the IQ (Count)
system.cpus0.instsIssued                     24104241                       # Number of instructions issued (Count)
system.cpus0.squashedInstsIssued                25012                       # Number of squashed instructions issued (Count)
system.cpus0.squashedInstsExamined            1065532                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpus0.squashedOperandsExamined         1953166                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpus0.squashedNonSpecRemoved               938                       # Number of squashed non-spec instructions that were removed (Count)
system.cpus0.numIssuedDist::samples           8044232                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::mean             2.996463                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::stdev            2.989445                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::underflows              0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::0                 3272949     40.69%     40.69% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::1                  365869      4.55%     45.24% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::2                  410934      5.11%     50.34% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::3                  456879      5.68%     56.02% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::4                  575234      7.15%     63.17% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::5                  766381      9.53%     72.70% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::6                  706023      8.78%     81.48% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::7                  742816      9.23%     90.71% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::8                  747147      9.29%    100.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::overflows               0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::min_value               0                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::max_value               8                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::total             8044232                       # Number of insts issued each cycle (Count)
system.cpus0.statFuBusy::No_OpClass                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntAlu                115978      9.49%      9.49% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntMult                    0      0.00%      9.49% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntDiv                     0      0.00%      9.49% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatAdd                   0      0.00%      9.49% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatCmp                   0      0.00%      9.49% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatCvt                   0      0.00%      9.49% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMult                  0      0.00%      9.49% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMultAcc               0      0.00%      9.49% # attempts to use FU when none available (Count)
