stat_name,value,description
simSeconds,0.002553,Number of seconds simulated (Second)
simTicks,2553330000,Number of ticks simulated (Tick)
finalTick,2553330000,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,70.24,Real time elapsed on the host (Second)
hostTickRate,36354021,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,4326184,Number of bytes of host memory used (Byte)
simInsts,24919194,Number of instructions simulated (Count)
simOps,46346728,Number of ops (including micro ops) simulated (Count)
hostInstRate,354796,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,659879,Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED,2553330000,Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED,2553330000,Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock,1000,Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage,1,Voltage in Volts (Volt)
system.node0.cpus0.numCycles,5685073,Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi,0.910495,CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc,1.098304,IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted,0,Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted,0,Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded,12374787,Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded,4738,Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued,12145620,Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued,17808,Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined,693585,Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined,1153356,Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved,1176,Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples,5200691,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean,2.335386,Number of insts issued each cycle (Count)
