
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011837                       # Number of seconds simulated (Second)
simTicks                                  11837242000                       # Number of ticks simulated (Tick)
finalTick                                 11837242000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    134.35                       # Real time elapsed on the host (Second)
hostTickRate                                 88108368                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4326172                       # Number of bytes of host memory used (Byte)
simInsts                                     24919418                       # Number of instructions simulated (Count)
simOps                                       46347163                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   185483                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     344977                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED  11837242000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED  11837242000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.node0.cpus0.numCycles                 56731399                       # Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi                       9.085561                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc                       0.110065                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted              0                       # Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded                12385297                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded             4746                       # Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued               12150269                       # Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued          18520                       # Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined       703620                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined      1182097                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved         1187                       # Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples     56128375                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean       0.216473                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev      1.099138                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0          53587089     95.47%     95.47% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1            249636      0.44%     95.92% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2            252888      0.45%     96.37% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3            270108      0.48%     96.85% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4            345935      0.62%     97.47% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::5            342632      0.61%     98.08% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::6            408309      0.73%     98.80% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::7            336445      0.60%     99.40% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::8            335333      0.60%    100.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::total      56128375                       # Number of insts issued each cycle (Count)
system.node0.cpus0.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntAlu           86299     13.45%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntMult              0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntDiv               0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatAdd             0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCmp             0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCvt             0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMult            0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMultAcc            0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatDiv             0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMisc            0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatSqrt            0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAdd              1      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAddAcc            0      0.00%     13.45% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAlu           9046      1.41%     14.86% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdCmp              2      0.00%     14.86% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdCvt             15      0.00%     14.86% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMisc           101      0.02%     14.88% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMult             0      0.00%     14.88% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMultAcc            0      0.00%     14.88% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMatMultAcc            0      0.00%     14.88% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdShift            2      0.00%     14.88% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdShiftAcc            0      0.00%     14.88% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdDiv              0      0.00%     14.88% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdSqrt             0      0.00%     14.88% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatAdd        77798     12.13%     27.01% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatAlu            0      0.00%     27.01% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatCmp         3498      0.55%     27.55% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatCvt           62      0.01%     27.56% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatDiv            0      0.00%     27.56% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatMisc            0      0.00%     27.56% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatMult        45397      7.08%     34.64% # attempts to use FU when none available (Count)
