stat_name,value,description
simSeconds,0.01452,Number of seconds simulated (Second)
simTicks,14519667250,Number of ticks simulated (Tick)
finalTick,14519667250,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,488.21,Real time elapsed on the host (Second)
hostTickRate,29740791,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,3122080,Number of bytes of host memory used (Byte)
simInsts,333975579,Number of instructions simulated (Count)
simOps,583791233,Number of ops (including micro ops) simulated (Count)
hostInstRate,684086,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,1195786,Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock,1000,Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage,1,Voltage in Volts (Volt)
system.cpus0.numCycles,58078670,Number of cpu cycles simulated (Cycle)
system.cpus0.cpi,0.347367,CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpus0.ipc,2.878803,IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpus0.numWorkItemsStarted,0,Number of work items this cpu started (Count)
system.cpus0.numWorkItemsCompleted,0,Number of work items this cpu completed (Count)
system.cpus0.instsAdded,308481891,Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpus0.nonSpecInstsAdded,15081,Number of non-speculative instructions added to the IQ (Count)
system.cpus0.instsIssued,302028122,Number of instructions issued (Count)
system.cpus0.squashedInstsIssued,458428,Number of squashed instructions issued (Count)
system.cpus0.squashedInstsExamined,16240703,Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpus0.squashedOperandsExamined,33424417,Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpus0.squashedNonSpecRemoved,4442,Number of squashed non-spec instructions that were removed (Count)
system.cpus0.numIssuedDist::samples,57761326,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::mean,5.228899,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::stdev,2.601628,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::underflows,0,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::0,7924812,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::1,1260822,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::2,814851,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::3,1388747,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::4,4535145,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::5,7968327,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::6,11623277,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::7,10713280,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::8,11532065,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::overflows,0,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::min_value,0,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::max_value,8,Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::total,57761326,Number of insts issued each cycle (Count)
system.cpus0.statFuBusy::No_OpClass,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntAlu,4045828,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntMult,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntDiv,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatAdd,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatCmp,0,attempts to use FU when none available (Count)
