
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002544                       # Number of seconds simulated (Second)
simTicks                                   2543978668                       # Number of ticks simulated (Tick)
finalTick                                  2543978668                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     74.24                       # Real time elapsed on the host (Second)
hostTickRate                                 34268485                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4326172                       # Number of bytes of host memory used (Byte)
simInsts                                     24919422                       # Number of instructions simulated (Count)
simOps                                       46347173                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   335675                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     624316                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED   2543978668                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED   2543978668                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.node0.cpus0.numCycles                  6436365                       # Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi                       1.030796                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc                       0.970124                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted              0                       # Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded                12376584                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded             4866                       # Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued               12148066                       # Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued          17725                       # Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined       695310                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined      1151979                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved         1283                       # Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples      5806759                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean       2.092056                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev      2.783162                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0           3263603     56.20%     56.20% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1            251125      4.32%     60.53% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2            256240      4.41%     64.94% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3            265967      4.58%     69.52% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4            346695      5.97%     75.49% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::5            341514      5.88%     81.37% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::6            413024      7.11%     88.49% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::7            334662      5.76%     94.25% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::8            333929      5.75%    100.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::total       5806759                       # Number of insts issued each cycle (Count)
system.node0.cpus0.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntAlu           86611     13.78%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntMult              0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntDiv               0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatAdd             0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCmp             0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCvt             0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMult            0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMultAcc            0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatDiv             0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMisc            0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatSqrt            0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAdd              1      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAddAcc            0      0.00%     13.78% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAlu           7004      1.11%     14.90% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdCmp              2      0.00%     14.90% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdCvt             15      0.00%     14.90% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMisc           103      0.02%     14.91% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMult             0      0.00%     14.91% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMultAcc            0      0.00%     14.91% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMatMultAcc            0      0.00%     14.91% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdShift            3      0.00%     14.91% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdShiftAcc            0      0.00%     14.91% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdDiv              0      0.00%     14.91% # attempts to use FU when none available (Count)
