
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002106                       # Number of seconds simulated (Second)
simTicks                                   2105817250                       # Number of ticks simulated (Tick)
finalTick                                  2105817250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     48.85                       # Real time elapsed on the host (Second)
hostTickRate                                 43110162                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3122148                       # Number of bytes of host memory used (Byte)
simInsts                                     25314928                       # Number of instructions simulated (Count)
simOps                                       46812822                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   518245                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     958348                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpus0.numCycles                        8423270                       # Number of cpu cycles simulated (Cycle)
system.cpus0.cpi                             0.695132                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpus0.ipc                             1.438577                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpus0.numWorkItemsStarted                    0                       # Number of work items this cpu started (Count)
system.cpus0.numWorkItemsCompleted                  0                       # Number of work items this cpu completed (Count)
system.cpus0.instsAdded                      23591451                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpus0.nonSpecInstsAdded                   4482                       # Number of non-speculative instructions added to the IQ (Count)
system.cpus0.instsIssued                     23220718                       # Number of instructions issued (Count)
system.cpus0.squashedInstsIssued                31115                       # Number of squashed instructions issued (Count)
system.cpus0.squashedInstsExamined            1028849                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpus0.squashedOperandsExamined         1830275                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpus0.squashedNonSpecRemoved               974                       # Number of squashed non-spec instructions that were removed (Count)
system.cpus0.numIssuedDist::samples           8056514                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::mean             2.882229                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::stdev            2.917003                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::underflows              0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::0                 3273107     40.63%     40.63% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::1                  434189      5.39%     46.02% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::2                  457519      5.68%     51.70% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::3                  485461      6.03%     57.72% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::4                  634821      7.88%     65.60% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::5                  712851      8.85%     74.45% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::6                  736936      9.15%     83.60% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::7                  683087      8.48%     92.07% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::8                  638543      7.93%    100.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::overflows               0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::min_value               0                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::max_value               8                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::total             8056514                       # Number of insts issued each cycle (Count)
system.cpus0.statFuBusy::No_OpClass                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntAlu                115566      9.70%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntMult                    0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntDiv                     0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatAdd                   0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatCmp                   0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatCvt                   0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMult                  0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMultAcc               0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatDiv                   0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMisc                  0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatSqrt                  0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdAdd                    0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdAddAcc                 0      0.00%      9.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdAlu                16811      1.41%     11.11% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdCmp                    2      0.00%     11.11% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdCvt                   12      0.00%     11.12% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdMisc                  99      0.01%     11.12% # attempts to use FU when none available (Count)
