stat_name,value,description
simSeconds,0.002549,Number of seconds simulated (Second)
simTicks,2549033000,Number of ticks simulated (Tick)
finalTick,2549033000,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,69.11,Real time elapsed on the host (Second)
hostTickRate,36882482,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,4315712,Number of bytes of host memory used (Byte)
simInsts,24686467,Number of instructions simulated (Count)
simOps,45907768,Number of ops (including micro ops) simulated (Count)
hostInstRate,357193,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,664248,Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED,2549033000,Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED,2549033000,Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock,1000,Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage,1,Voltage in Volts (Volt)
system.node0.cpus0.numCycles,8723621,Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi,0.749891,CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc,1.333528,IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted,0,Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted,0,Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded,22721098,Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded,4625,Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued,22343016,Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued,29417,Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined,1006915,Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined,1858587,Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved,1111,Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples,8244675,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean,2.709994,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev,2.896247,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0,3605151,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1,418258,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2,462979,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3,490940,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4,647524,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::5,640378,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::6,744165,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::7,613236,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::8,622044,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::overflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::min_value,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::max_value,8,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::total,8244675,Number of insts issued each cycle (Count)
system.node0.cpus0.statFuBusy::No_OpClass,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntAlu,100129,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntMult,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntDiv,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatAdd,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCmp,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCvt,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMult,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMultAcc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatDiv,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMisc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatSqrt,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAdd,1,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAddAcc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAlu,23919,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdCmp,2,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdCvt,16,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMisc,102,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMult,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMultAcc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMatMultAcc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdShift,1,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdShiftAcc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdDiv,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdSqrt,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatAdd,146577,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatAlu,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatCmp,6428,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatCvt,121,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatDiv,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatMisc,0,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatMult,86729,attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdFloatMultAcc,0,attempts to use FU when none available (Count)
