stat_name,value,description
system.cpus0.statFuBusy::SimdSha3,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdSm4e,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdCrc,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdPredAlu,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdDotProd,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::Matrix,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::MatrixMov,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::MatrixOP,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::MemRead,23981,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::MemWrite,3975,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMemRead,780005,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMemWrite,3930,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::InstPrefetch,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideStore,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideMaskLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideMaskStore,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdStridedLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdStridedStore,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdIndexedLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdIndexedStore,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdWholeRegisterLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdWholeRegisterStore,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideFaultOnlyFirstLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideSegmentedLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideSegmentedStore,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdStrideSegmentedLoad,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdStrideSegmentedStore,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdExt,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatExt,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdConfig,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16Add,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16Cmp,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16Cvt,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16DotProd,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16MatMultAcc,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16Mult,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16MultAcc,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::Bf16Cvt,0,attempts to use FU when none available (Count)
system.cpus0.statFuBusy::System,0,attempts to use FU when none available (Count)
system.cpus0.issuedInstType_0::No_OpClass,55669,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::IntAlu,8880568,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::IntMult,119622,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::IntDiv,4981,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::FloatAdd,157148,"Number of instructions issued per FU type, per thread (Count)"
system.cpus0.issuedInstType_0::FloatCmp,0,"Number of instructions issued per FU type, per thread (Count)"
