
---------- Begin Simulation Statistics ----------
system.cpus0.statFuBusy::SimdFloatDiv               0      0.00%     77.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatMisc              0      0.00%     77.70% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatMult         702086     13.26%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatMultAcc            0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatSqrt              0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdReduceAdd              0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdReduceAlu              0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdReduceCmp              0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatReduceAdd            0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatReduceCmp            0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdAes                    0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdAesMix                 0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdSha1Hash               0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdSha1Hash2              0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdSha256Hash             0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdSha256Hash2            0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdShaSigma2              0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdShaSigma3              0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdSha3                   0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdSm4e                   0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdCrc                    0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdPredAlu                0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdDotProd                0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::Matrix                     0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::MatrixMov                  0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::MatrixOP                   0      0.00%     90.96% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::MemRead                55296      1.04%     92.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::MemWrite                4868      0.09%     92.10% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMemRead          414713      7.83%     99.93% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMemWrite           3747      0.07%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::InstPrefetch               0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdStridedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdStridedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdIndexedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdIndexedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdWholeRegisterLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdWholeRegisterStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdStrideSegmentedLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdStrideSegmentedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdExt                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdFloatExt               0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdConfig                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16Add                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16Cmp                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16Cvt                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16DotProd            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16MatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16Mult               0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::SimdBf16MultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::Bf16Cvt                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::System                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpus0.issuedInstType_0::No_OpClass       705115      0.23%      0.23% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::IntAlu       185758300     61.54%     61.77% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::IntMult          20160      0.01%     61.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::IntDiv           28574      0.01%     61.79% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatAdd      17786017      5.89%     67.68% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatCmp             0      0.00%     67.68% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatCvt             0      0.00%     67.68% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatMult            0      0.00%     67.68% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatMultAcc            0      0.00%     67.68% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatDiv             0      0.00%     67.68% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatMisc            0      0.00%     67.68% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatSqrt            0      0.00%     67.68% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdAdd          41269      0.01%     67.69% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdAddAcc            0      0.00%     67.69% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdAlu         701981      0.23%     67.92% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdCmp             14      0.00%     67.92% # Number of instructions issued per FU type, per thread (Count)
