stat_name,value,description
simSeconds,0.011827,Number of seconds simulated (Second)
simTicks,11826825000,Number of ticks simulated (Tick)
finalTick,11826825000,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,134.53,Real time elapsed on the host (Second)
hostTickRate,87913926,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,4326176,Number of bytes of host memory used (Byte)
simInsts,24919281,Number of instructions simulated (Count)
simOps,46346913,Number of ops (including micro ops) simulated (Count)
hostInstRate,185236,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,344517,Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED,11826825000,Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED,11826825000,Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock,1000,Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage,1,Voltage in Volts (Volt)
system.node0.cpus0.numCycles,56704297,Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi,9.08135,CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc,0.110116,IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted,0,Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted,0,Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded,12385880,Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded,4736,Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued,12148189,Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued,18589,Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined,704334,Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined,1187280,Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved,1177,Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples,56102610,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean,0.216535,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev,1.09961,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0,53563542,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1,249254,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2,252463,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3,268651,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4,345289,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::5,342416,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::6,408980,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::7,335180,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::8,336835,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::overflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::min_value,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::max_value,8,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::total,56102610,Number of insts issued each cycle (Count)
