stat_name,value,description
simSeconds,0.003643,Number of seconds simulated (Second)
simTicks,3643130500,Number of ticks simulated (Tick)
finalTick,3643130500,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,64.52,Real time elapsed on the host (Second)
hostTickRate,56467636,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,4310980,Number of bytes of host memory used (Byte)
simInsts,24702560,Number of instructions simulated (Count)
simOps,45935925,Number of ops (including micro ops) simulated (Count)
hostInstRate,382883,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,711995,Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED,3643130500,Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED,3643130500,Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock,1000,Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage,1,Voltage in Volts (Volt)
system.node0.cpus0.numCycles,14572523,Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi,0.644132,CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc,1.552477,IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted,0,Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted,0,Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded,43752764,Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded,2690,Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued,43111569,Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued,51902,Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined,1589653,Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined,3107204,Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved,727,Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples,14101834,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean,3.05716,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev,2.913875,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0,5242530,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1,737980,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2,873065,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3,933629,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4,1231421,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::5,1245530,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::6,1435257,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::7,1157680,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::8,1244742,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::overflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::min_value,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::max_value,8,Number of insts issued each cycle (Count)
