stat_name,value,description
simSeconds,0.002547,Number of seconds simulated (Second)
simTicks,2547463000,Number of ticks simulated (Tick)
finalTick,2547463000,Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq,1000000000000,The number of ticks per simulated second ((Tick/Second))
hostSeconds,67.45,Real time elapsed on the host (Second)
hostTickRate,37766359,The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory,4316732,Number of bytes of host memory used (Byte)
simInsts,24805041,Number of instructions simulated (Count)
simOps,46145191,Number of ops (including micro ops) simulated (Count)
hostInstRate,367737,Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate,684106,Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED,2547463000,Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED,2547463000,Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock,1000,Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage,1,Voltage in Volts (Volt)
system.node0.cpus0.numCycles,8737550,Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi,0.747204,CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc,1.338322,IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted,0,Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted,0,Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded,22883631,Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded,4576,Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued,22480387,Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued,25674,Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined,1048298,Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined,2024588,Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved,1053,Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples,8255143,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean,2.723198,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev,2.959721,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows,0,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0,3717453,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1,380566,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2,421865,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3,469097,Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4,592081,Number of insts issued each cycle (Count)
