
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011843                       # Number of seconds simulated (Second)
simTicks                                  11842943000                       # Number of ticks simulated (Tick)
finalTick                                 11842943000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    136.72                       # Real time elapsed on the host (Second)
hostTickRate                                 86624230                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4326176                       # Number of bytes of host memory used (Byte)
simInsts                                     24919450                       # Number of instructions simulated (Count)
simOps                                       46347243                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   182271                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     339003                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED  11842943000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED  11842943000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.node0.cpus0.numCycles                 56928102                       # Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi                       9.117043                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc                       0.109685                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted              0                       # Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded                12380322                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded             4839                       # Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued               12147965                       # Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued          17942                       # Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined       698748                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined      1168936                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved         1259                       # Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples     56327006                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean       0.215669                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev      1.092538                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0          53752335     95.43%     95.43% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1            263380      0.47%     95.90% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2            267094      0.47%     96.37% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3            276704      0.49%     96.86% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4            362163      0.64%     97.51% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::5            340923      0.61%     98.11% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::6            407909      0.72%     98.83% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::7            332420      0.59%     99.42% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::8            324078      0.58%    100.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::total      56327006                       # Number of insts issued each cycle (Count)
system.node0.cpus0.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntAlu           86162     13.76%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntMult              0      0.00%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntDiv               0      0.00%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatAdd             0      0.00%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCmp             0      0.00%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCvt             0      0.00%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMult            0      0.00%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMultAcc            0      0.00%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatDiv             0      0.00%     13.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMisc            0      0.00%     13.76% # attempts to use FU when none available (Count)
